month;Antal
1;1785596
2;1796028
3;2148827
4;2127175
5;2402513
6;2451663
7;2123131
8;2284311
9;2397784
10;2351750
11;2130610
12;1885362
1;1853465
2;1876318
3;2273701
4;2175472
5;2405878
6;2537687
7;2258337
8;2412045
9;2534833
10;2501794
11;2302020
12;2034116
1;2025465
2;2112875
3;2367352
4;2382309
5;2630822
6;2687432
7;2374624
8;2491591
9;2597515
10;2497076
11;2054991
12;1882162
1;1752196
2;1773345
3;2110942
4;2090858
5;2268011
6;2425282
7;2193096
8;2271111
9;2331736
10;2302959
11;2050604
12;1885200
1;1767507
2;1826952
3;2239692
4;1624100
5;2448578
6;2585443
7;2422432
8;2528593
9;2638447
10;2561411
11;2246527
12;2036100
1;1978470
2;1976127
3;2378511
4;2442474
5;2804995
6;2848129
7;2725689
8;2727229
9;2853629
10;2753027
11;2390372
12;2181875
1;2090851
2;2128431
3;2495254
4;2538101
5;2839924
6;2912186
7;2760254
8;2789860
9;2854948
10;2791393
11;2419512
12;2103932
1;2064468
2;2060440
3;2439054
4;2602587
5;2947099
6;3060301
7;2996576
8;2981402
9;3006655
10;2936504
11;2490569
12;2277813
1;2206360
2;2175971
3;2557120
4;2738274
5;3015450
6;3283436
7;3138734
8;3113534
9;3086167
10;3055822
11;2512680
12;2343521
1;2234501
2;2240143
3;2634445
4;2796476
5;3104268
6;3334398
7;3317181
8;3255052
9;3285169
10;3157540
11;2658415
12;2448381
1;2359699
2;2465092
3;2863919
4;2882401
5;3284466
6;3418349
7;3520470
8;3393162
9;3407030
10;3262666
11;2832393
12;2699585
1;2580035
2;2549858
3;2995550
4;3159991
5;3559457
6;3742145
7;3823249
8;3675076
9;3606579
10;3459328
11;2959638
12;2767512
1;2675673
2;2634857
3;3174773
4;3257846
5;3571094
6;3764340
7;3867642
8;3702284
9;3563756
10;3430271
11;2921726
12;2740854
1;2598011
2;2544109
3;2968119
4;3090769
5;3434097
6;3711862
7;3736721
8;3611125
9;3504090
10;3314621
11;2735231
12;2672169
